瘤痢,瘤痢疙,老矫,1.5m 瘤吝柯档(∑C)
184,力林,2025-06-08,20
184,力林,2025-06-09,20.1
184,力林,2025-06-10,20.1
184,力林,2025-06-11,20.4
184,力林,2025-06-12,20.3
184,力林,2025-06-13,20.4
184,力林,2025-06-14,20.5
184,力林,2025-06-15,20.6
184,力林,2025-06-16,20.6
184,力林,2025-06-17,21
184,力林,2025-06-18,21.2
184,力林,2025-06-19,21.3
184,力林,2025-06-20,21.4
184,力林,2025-06-21,21.6
184,力林,2025-06-22,21.8
184,力林,2025-06-23,22.1
184,力林,2025-06-24,22.2
184,力林,2025-06-25,22.2
184,力林,2025-06-26,22.5
184,力林,2025-06-27,22.5
184,力林,2025-06-28,22.6
184,力林,2025-06-29,22.8
184,力林,2025-06-30,22.9
184,力林,2025-07-01,23.3
184,力林,2025-07-02,23.5
184,力林,2025-07-03,23.8
184,力林,2025-07-04,24.1
184,力林,2025-07-05,24.1
184,力林,2025-07-06,24.5
184,力林,2025-07-07,24.9
184,力林,2025-07-08,25.3
184,力林,2025-07-09,25.3
184,力林,2025-07-10,25.4
184,力林,2025-07-11,25.6
184,力林,2025-07-12,26
184,力林,2025-07-13,25.9
184,力林,2025-07-14,26
184,力林,2025-07-15,25.2
184,力林,2025-07-16,25.3
184,力林,2025-07-17,25.2
184,力林,2025-07-18,25.3
184,力林,2025-07-19,25.8
184,力林,2025-07-20,25.9
184,力林,2025-07-21,25.9
184,力林,2025-07-22,25.9
184,力林,2025-07-23,26
184,力林,2025-07-24,26.1
184,力林,2025-07-25,26.2
184,力林,2025-07-26,26.3
184,力林,2025-07-27,26.4
184,力林,2025-07-28,26.5
184,力林,2025-07-29,26.6
184,力林,2025-07-30,26.8
184,力林,2025-07-31,26.9
184,力林,2025-08-01,27.1
184,力林,2025-08-02,27.2
184,力林,2025-08-03,27.4
184,力林,2025-08-04,27.3
184,力林,2025-08-05,27.6
184,力林,2025-08-06,27.5
184,力林,2025-08-07,27.7
184,力林,2025-08-08,27.9
184,力林,2025-08-09,27.9
184,力林,2025-08-10,27.8
184,力林,2025-08-11,28
184,力林,2025-08-12,28.1
184,力林,2025-08-13,28.1
184,力林,2025-08-14,27.9
184,力林,2025-08-15,27.8
184,力林,2025-08-16,27.9
184,力林,2025-08-17,27.9
184,力林,2025-08-18,27.9
184,力林,2025-08-19,28
184,力林,2025-08-20,28.1
184,力林,2025-08-21,28.1
184,力林,2025-08-22,28.1
184,力林,2025-08-23,28.1
184,力林,2025-08-24,28.3
184,力林,2025-08-25,28.4
184,力林,2025-08-26,28.3
184,力林,2025-08-27,28.5
184,力林,2025-08-28,28.6
184,力林,2025-08-29,28.7
184,力林,2025-08-30,28.7
184,力林,2025-08-31,28.6
184,力林,2025-09-01,28.8
184,力林,2025-09-02,28.8
184,力林,2025-09-03,28.9
184,力林,2025-09-04,28.9
184,力林,2025-09-05,28.8
184,力林,2025-09-06,28.7
184,力林,2025-09-07,28.8
184,力林,2025-09-08,28.8
184,力林,2025-09-09,28.8
184,力林,2025-09-10,28.7
184,力林,2025-09-11,28.8
184,力林,2025-09-12,28.7
184,力林,2025-09-13,28.6
184,力林,2025-09-14,28.7
184,力林,2025-09-15,28.6
184,力林,2025-09-16,28.7
184,力林,2025-09-17,28.6
184,力林,2025-09-18,28.7
184,力林,2025-09-19,28.6
184,力林,2025-09-20,28.6
184,力林,2025-09-21,28.5
184,力林,2025-09-22,28.4
184,力林,2025-09-23,28.2
184,力林,2025-09-24,28.1
184,力林,2025-09-25,28
184,力林,2025-09-26,28
184,力林,2025-09-27,28
184,力林,2025-09-28,28.2
184,力林,2025-09-29,28.1
184,力林,2025-09-30,27.9
184,力林,2025-10-01,27.8
184,力林,2025-10-02,27.7
184,力林,2025-10-03,27.5
184,力林,2025-10-04,27.5
184,力林,2025-10-05,27.4
184,力林,2025-10-06,27.2
184,力林,2025-10-07,27.2
184,力林,2025-10-08,27
184,力林,2025-10-09,27
184,力林,2025-10-10,26.9
184,力林,2025-10-11,26.8
184,力林,2025-10-12,26.8
184,力林,2025-10-13,26.8
184,力林,2025-10-14,26.7
184,力林,2025-10-15,26.7
184,力林,2025-10-16,26.7
184,力林,2025-10-17,26.6
184,力林,2025-10-18,26.6
184,力林,2025-10-19,26.4
184,力林,2025-10-20,26
184,力林,2025-10-21,25.8
184,力林,2025-10-22,25.5
184,力林,2025-10-23,25.3
184,力林,2025-10-24,25.2
184,力林,2025-10-25,25
184,力林,2025-10-26,24.9
184,力林,2025-10-27,24.7
184,力林,2025-10-28,24.3
184,力林,2025-10-29,24.3
184,力林,2025-10-30,24.1
184,力林,2025-10-31,23.9
184,力林,2025-11-01,23.3
184,力林,2025-11-02,22.8
184,力林,2025-11-03,22.4
184,力林,2025-11-04,22.4
184,力林,2025-11-05,17.1
184,力林,2025-11-06,22.5
184,力林,2025-11-07,22.5
184,力林,2025-11-08,22.4
184,力林,2025-11-09,22.6
184,力林,2025-11-10,22.3
184,力林,2025-11-11,22.2
184,力林,2025-11-12,22.2
184,力林,2025-11-13,22
184,力林,2025-11-14,21.9
184,力林,2025-11-15,21.7
184,力林,2025-11-16,21.6
184,力林,2025-11-17,21.7
184,力林,2025-11-18,21.3
184,力林,2025-11-19,21
184,力林,2025-11-20,20.8
184,力林,2025-11-21,20.4
184,力林,2025-11-22,20.2
184,力林,2025-11-23,20.1
184,力林,2025-11-24,20
184,力林,2025-11-25,19.8
184,力林,2025-11-26,19.3
184,力林,2025-11-27,19.2
184,力林,2025-11-28,18.6
184,力林,2025-11-29,18.7
184,力林,2025-11-30,18.7
