瘤痢,瘤痢疙,老矫,乞闭 捞浇痢柯档(∑C)
184,力林,2025-05-25,11.6
184,力林,2025-05-26,6.2
184,力林,2025-05-27,5.6
184,力林,2025-05-28,9.8
184,力林,2025-05-29,11.4
184,力林,2025-05-30,10.7
184,力林,2025-05-31,13.2
184,力林,2025-06-01,13.3
184,力林,2025-06-02,14.2
184,力林,2025-06-03,14.4
184,力林,2025-06-04,9.2
184,力林,2025-06-05,7.8
184,力林,2025-06-06,9.5
184,力林,2025-06-07,14.6
184,力林,2025-06-08,17.2
184,力林,2025-06-09,17.2
184,力林,2025-06-10,17.2
184,力林,2025-06-11,15.4
184,力林,2025-06-12,15.2
184,力林,2025-06-13,19.6
184,力林,2025-06-14,20.6
184,力林,2025-06-15,19.9
184,力林,2025-06-16,18.9
184,力林,2025-06-17,18.6
184,力林,2025-06-18,18.2
184,力林,2025-06-19,20.1
184,力林,2025-06-20,20.7
184,力林,2025-06-21,21.9
184,力林,2025-06-22,18
184,力林,2025-06-23,17.3
184,力林,2025-06-24,20.4
184,力林,2025-06-25,17.8
184,力林,2025-06-26,17
184,力林,2025-06-27,19.3
184,力林,2025-06-28,22.5
184,力林,2025-06-29,21.7
184,力林,2025-06-30,22.3
184,力林,2025-07-01,23.2
184,力林,2025-07-02,23.2
184,力林,2025-07-03,22.3
184,力林,2025-07-04,22.5
184,力林,2025-07-05,22.2
184,力林,2025-07-06,22.4
184,力林,2025-07-07,22.4
184,力林,2025-07-08,22.9
184,力林,2025-07-09,23
184,力林,2025-07-10,22.5
184,力林,2025-07-11,21.4
184,力林,2025-07-12,21.3
184,力林,2025-07-13,21.2
184,力林,2025-07-14,21.2
184,力林,2025-07-15,19.7
184,力林,2025-07-16,20
184,力林,2025-07-17,22.8
184,力林,2025-07-18,23.6
184,力林,2025-07-19,23.3
184,力林,2025-07-20,22.8
184,力林,2025-07-21,23.7
184,力林,2025-07-22,22.6
184,力林,2025-07-23,21.8
184,力林,2025-07-24,21.9
184,力林,2025-07-25,24.5
184,力林,2025-07-26,25.1
184,力林,2025-07-27,24.6
184,力林,2025-07-28,22.5
184,力林,2025-07-29,22.5
184,力林,2025-07-30,21.7
184,力林,2025-07-31,21.4
184,力林,2025-08-01,24.1
184,力林,2025-08-02,23.2
184,力林,2025-08-03,23.3
184,力林,2025-08-04,24.5
184,力林,2025-08-05,23.6
184,力林,2025-08-06,23.7
184,力林,2025-08-07,25.6
184,力林,2025-08-08,22.6
184,力林,2025-08-09,24.6
184,力林,2025-08-10,23
184,力林,2025-08-11,21.9
184,力林,2025-08-12,24.1
184,力林,2025-08-13,24.2
184,力林,2025-08-14,24.3
184,力林,2025-08-15,23.4
184,力林,2025-08-16,22.5
184,力林,2025-08-17,22.6
184,力林,2025-08-18,23.7
184,力林,2025-08-19,23.2
184,力林,2025-08-20,23.6
184,力林,2025-08-21,23.4
184,力林,2025-08-22,23.6
184,力林,2025-08-23,22.9
184,力林,2025-08-24,23.5
184,力林,2025-08-25,23.3
184,力林,2025-08-26,23.5
184,力林,2025-08-27,23.8
184,力林,2025-08-28,23.2
184,力林,2025-08-29,23.2
184,力林,2025-08-30,22.5
184,力林,2025-08-31,23.6
184,力林,2025-09-01,23.6
184,力林,2025-09-02,22.6
184,力林,2025-09-03,23
184,力林,2025-09-04,23.9
184,力林,2025-09-05,22.8
184,力林,2025-09-06,22.4
184,力林,2025-09-07,24.1
184,力林,2025-09-08,24
184,力林,2025-09-09,23.3
184,力林,2025-09-10,22.2
184,力林,2025-09-11,22.2
184,力林,2025-09-12,22.8
184,力林,2025-09-13,23.5
184,力林,2025-09-14,23
184,力林,2025-09-15,23.4
184,力林,2025-09-16,23.8
184,力林,2025-09-17,22.5
184,力林,2025-09-18,19.6
184,力林,2025-09-19,21
184,力林,2025-09-20,19.3
184,力林,2025-09-21,17.7
184,力林,2025-09-22,18.6
184,力林,2025-09-23,19.8
184,力林,2025-09-24,22
184,力林,2025-09-25,22.1
184,力林,2025-09-26,22.8
184,力林,2025-09-27,21.2
184,力林,2025-09-28,21.9
184,力林,2025-09-29,17.3
184,力林,2025-09-30,15.1
184,力林,2025-10-01,13.5
184,力林,2025-10-02,15.8
184,力林,2025-10-03,21.1
184,力林,2025-10-04,20.7
184,力林,2025-10-05,18.9
184,力林,2025-10-06,19.9
184,力林,2025-10-07,20.3
184,力林,2025-10-08,19.6
184,力林,2025-10-09,18.2
184,力林,2025-10-10,18.1
184,力林,2025-10-11,19.6
184,力林,2025-10-12,20.1
184,力林,2025-10-13,20.5
184,力林,2025-10-14,19.6
184,力林,2025-10-15,20.9
184,力林,2025-10-16,20
184,力林,2025-10-17,18.5
184,力林,2025-10-18,17.5
184,力林,2025-10-19,16.5
184,力林,2025-10-20,10.1
184,力林,2025-10-21,12.5
184,力林,2025-10-22,14
184,力林,2025-10-23,13.5
184,力林,2025-10-24,12.6
184,力林,2025-10-25,13.6
184,力林,2025-10-26,8.9
184,力林,2025-10-27,5.6
184,力林,2025-10-28,2.4
184,力林,2025-10-29,5.8
184,力林,2025-10-30,10.4
184,力林,2025-10-31,10.7
184,力林,2025-11-01,7.6
184,力林,2025-11-02,6.2
184,力林,2025-11-03,3.9
184,力林,2025-11-04,10.7
184,力林,2025-11-05,10.7
184,力林,2025-11-06,9.8
184,力林,2025-11-07,11.4
184,力林,2025-11-08,13.6
184,力林,2025-11-09,10.8
184,力林,2025-11-10,4
184,力林,2025-11-11,4.2
184,力林,2025-11-12,9.1
184,力林,2025-11-13,7.2
184,力林,2025-11-14,5.8
184,力林,2025-11-15,6
184,力林,2025-11-16,8.9
184,力林,2025-11-17,4.1
184,力林,2025-11-18,2.3
184,力林,2025-11-19,3.7
184,力林,2025-11-20,4.6
184,力林,2025-11-21,4.5
184,力林,2025-11-22,4.6
184,力林,2025-11-23,4.9
184,力林,2025-11-24,8.2
184,力林,2025-11-25,3.8
184,力林,2025-11-26,2
184,力林,2025-11-27,3
184,力林,2025-11-28,.9
184,力林,2025-11-29,4
184,力林,2025-11-30,7.8
